iter	Passed	Remaining
548	2817	2314
549	2821	2308
550	2825	2302
551	2830	2296
552	2834	2291
553	2838	2285
554	2843	2280
555	2848	2275
556	2853	2269
557	2858	2264
558	2863	2258
559	2867	2253
560	2872	2247
561	2876	2241
562	2881	2236
563	2885	2230
564	2889	2224
565	2894	2219
566	2898	2213
567	2902	2207
568	2907	2202
569	2911	2196
570	2916	2191
571	2920	2185
572	2924	2179
573	2929	2174
574	2934	2168
575	2939	2163
576	2944	2158
577	2948	2152
578	2953	2147
579	2957	2141
580	2962	2136
581	2967	2130
582	2971	2125
583	2976	2120
584	2980	2114
585	2984	2108
586	2988	2102
587	2993	2097
588	2998	2091
589	3002	2086
590	3006	2080
591	3011	2075
592	3015	2069
593	3019	2063
594	3024	2058
595	3028	2052
596	3032	2047
597	3036	2041
598	3041	2036
599	3046	2030
600	3050	2025
601	3054	2019
602	3059	2014
603	3063	2008
604	3068	2003
605	3073	1998
606	3077	1992
607	3081	1986
608	3085	1981
609	3090	1975
610	3094	1970
611	3098	1964
612	3103	1959
613	3107	1953
614	3111	1948
615	3116	1942
616	3120	1937
617	3125	1931
618	3130	1927
619	3136	1922
620	3140	1916
621	3145	1911
622	3152	1907
623	3157	1902
624	3163	1897
625	3168	1893
626	3173	1888
627	3178	1883
628	3183	1877
629	3189	1872
630	3193	1867
631	3198	1862
632	3202	1856
633	3206	1851
634	3210	1845
635	3215	1840
636	3220	1835
637	3225	1829
638	3229	1824
639	3233	1819
640	3238	1813
641	3242	1808
642	3246	1802
643	3250	1797
644	3254	1791
645	3259	1786
646	3264	1780
647	3268	1775
648	3273	1770
649	3277	1764
650	3281	1759
651	3285	1753
652	3290	1748
653	3294	1742
654	3299	1737
655	3303	1732
656	3307	1726
657	3312	1721
658	3317	1716
659	3321	1711
660	3325	1705
661	3330	1700
662	3334	1694
663	3338	1689
664	3343	1684
665	3347	1679
666	3352	1673
667	3357	1668
668	3361	1663
669	3365	1657
670	3369	1652
671	3373	1646
672	3378	1641
673	3382	1636
674	3387	1631
675	3392	1625
676	3396	1620
677	3402	1615
678	3406	1610
679	3411	1605
680	3415	1599
681	3420	1594
682	3424	1589
683	3429	1584
684	3434	1579
685	3439	1574
686	3444	1569
687	3448	1563
688	3452	1558
689	3457	1553
690	3461	1548
691	3466	1542
692	3470	1537
693	3475	1532
694	3479	1526
695	3483	1521
696	3488	1516
697	3492	1511
698	3497	1505
699	3501	1500
700	3506	1495
701	3511	1490
702	3515	1485
703	3520	1480
704	3525	1475
705	3529	1469
706	3533	1464
707	3539	1459
708	3543	1454
709	3548	1449
710	3552	1443
711	3557	1438
712	3561	1433
713	3566	1428
714	3572	1424
715	3578	1419
716	3584	1414
717	3592	1410
718	3598	1406
719	3603	1401
720	3608	1396
721	3613	1391
722	3618	1386
723	3624	1381
724	3628	1376
725	3634	1371
726	3639	1366
727	3644	1361
728	3649	1356
729	3655	1352
730	3661	1347
731	3665	1342
732	3671	1337
733	3675	1332
734	3679	1326
735	3684	1321
736	3688	1316
737	3692	1311
738	3696	1305
739	3701	1300
740	3705	1295
741	3709	1289
742	3714	1284
743	3718	1279
744	3723	1274
745	3727	1269
746	3732	1263
747	3736	1258
748	3740	1253
749	3744	1248
750	3749	1243
751	3754	1238
752	3758	1232
753	3764	1228
754	3769	1223
755	3774	1218
756	3778	1213
757	3783	1208
758	3788	1202
759	3792	1197
760	3796	1192
761	3801	1187
762	3806	1182
763	3811	1177
764	3815	1172
765	3820	1167
766	3825	1162
767	3830	1157
768	3834	1151
769	3838	1146
770	3842	1141
771	3846	1136
772	3851	1130
773	3855	1125
774	3859	1120
775	3864	1115
776	3869	1110
777	3873	1105
778	3878	1100
779	3882	1095
780	3887	1090
781	3891	1084
782	3896	1079
783	3900	1074
784	3904	1069
785	3908	1064
786	3914	1059
787	3918	1054
788	3923	1049
789	3928	1044
790	3932	1039
791	3936	1033
792	3940	1028
793	3946	1023
794	3950	1018
795	3954	1013
796	3959	1008
797	3963	1003
798	3967	998
799	3971	992
800	3976	987
801	3980	982
802	3984	977
803	3989	972
804	3994	967
805	3998	962
806	4002	957
807	4007	952
808	4011	947
809	4016	942
810	4020	936
811	4025	932
812	4029	926
813	4033	921
814	4038	916
815	4043	911
816	4047	906
817	4052	901
818	4058	896
819	4062	891
820	4067	886
821	4072	881
822	4077	876
823	4083	872
824	4088	867
825	4093	862
826	4098	857
827	4103	852
828	4107	847
829	4113	842
830	4117	837
831	4122	832
832	4126	827
833	4130	822
834	4135	817
835	4140	812
836	4144	807
837	4148	801
838	4153	796
839	4157	791
840	4162	786
841	4167	781
842	4171	776
843	4176	771
844	4181	766
845	4185	761
846	4189	756
847	4194	751
848	4198	746
849	4202	741
850	4207	736
851	4212	731
852	4216	726
853	4220	721
854	4225	716
855	4229	711
856	4233	706
857	4237	701
858	4242	696
859	4247	691
860	4251	686
861	4255	681
862	4260	676
863	4265	671
864	4269	666
865	4274	661
866	4278	656
867	4282	651
868	4287	646
869	4291	641
870	4296	636
871	4300	631
872	4304	626
873	4309	621
874	4313	616
875	4317	611
876	4321	606
877	4326	601
878	4330	596
879	4334	591
880	4338	586
881	4343	581
882	4348	576
883	4352	571
884	4357	566
885	4361	561
886	4365	556
887	4369	551
888	4374	546
889	4378	541
890	4383	536
891	4387	531
892	4392	526
893	4397	521
894	4402	516
895	4407	511
896	4411	506
897	4416	501
898	4420	496
899	4425	491
900	4430	486
901	4435	481
902	4439	476
903	4443	471
904	4447	466
905	4453	462
906	4457	457
907	4462	452
908	4467	447
909	4471	442
910	4475	437
911	4480	432
912	4485	427
913	4489	422
914	4493	417
915	4497	412
916	4502	407
917	4506	402
918	4511	397
919	4516	392
920	4521	387
921	4526	382
922	4531	378
923	4536	373
924	4541	368
925	4546	363
926	4553	358
927	4559	353
928	4567	349
929	4573	344
930	4577	339
931	4583	334
932	4588	329
933	4592	324
934	4598	319
935	4603	314
936	4607	309
937	4612	304
938	4617	299
939	4622	295
940	4626	290
941	4631	285
942	4636	280
943	4640	275
944	4645	270
945	4649	265
946	4653	260
947	4658	255
948	4663	250
949	4667	245
950	4671	240
951	4676	235
952	4680	230
953	4684	225
954	4689	220
955	4694	216
956	4698	211
957	4702	206
958	4707	201
959	4711	196
960	4715	191
961	4720	186
962	4724	181
963	4729	176
964	4733	171
965	4738	166
966	4742	161
967	4747	156
968	4752	152
969	4756	147
970	4760	142
971	4764	137
972	4769	132
973	4773	127
974	4777	122
975	4782	117
976	4786	112
977	4791	107
978	4796	102
979	4800	97
980	4804	93
981	4808	88
982	4813	83
983	4817	78
984	4822	73
985	4827	68
986	4831	63
987	4835	58
988	4840	53
989	4844	48
990	4848	44
991	4853	39
992	4858	34
993	4862	29
994	4866	24
995	4871	19
996	4876	14
997	4880	9
998	4885	4
999	4891	0
